№,P,#,Инфинитив,3 л. настоящего вр.,3 л. прошедшего однократного вр.,Вопрос,Перевод
1588,168,132,lùpti,lùpa,lùpo,ką?,чистить; драть
1589,169,133,lū́žti,lū́žta,lū́žo,,ломаться
1590,159,123,lydė́ti,lỹdi,lydė́jo,ką?,"провожать, сопровождать"
1591,,,lydyti,lýdo,lýdė,,"плавить, топить"
1592,,,lydytis,lýdosi,lydė́si,,"плавиться, таять"
1593,162,126,lýginti,lýgina,lýgino,ką?,гладить; сравнивать
1594,,,lynoti,lynója,lynójo,,моросить (о дожде)
1595,,,lytėti,lýti,lytė́jo,,"ощупывать, трогать"
1596,166,130,lýti,lỹja,lìjo,,идет дождь
1597,,,lyžtelėti,lýžtelėja,lýžtelėjo,,лизнуть (один раз)
1598,,,maigyti,máigo,máigė,,"мять, давить (многократно)"
1599,,,mainyti,maĩno,maĩnė,,"менять, обменивать"
1600,,,maištauti,maištáuja,maištãvo,,"бунтовать, восставать"
1601,170,134,maišýti,maĩšo,maĩšė,ką?,мешать;смешивать;путать
1602,171,135,maitìnti,maitìna,maitìno,ką?,кормить
1603,,,maitintis,maitìnasi,maitìnosi,,питаться
1604,,,maivytis,máivosi,máivėsi,,"кривляться, жеманничать"
1605,,,maldauti,maldáuja,maldãvo,,"умолять, молить"
1606,,,maldyti,mal̃do,mal̃dė,,"укрощать, усмирять"
1607,,,malonėti,malonė́ja,malonė́jo,,"соизволить, благоволить"
1608,,,malšinti,malšìna,malšìno,,"утолять, подавлять, успокаивать"
1609,,,malti,mãla,mãlė,,молоть
1610,,,manipuliuoti,manipuliúoja,manipuliãvo,,манипулировать
1611,,,mankštinti,mankštìna,mankštìno,,"разминать, тренировать"
1612,,,mankštintis,mankštinasi,mankštinosi,,делать упражнения
1613,172,136,manýti,mãno,mãnė,,"думать, полагать"
1614,,,marginti,márgina,márgino,,"пестрить, раскрашивать"
1615,,,marguliuoti,marguliúoja,marguliavo,,"пестреть, рябить"
1616,,,marguoti,margúoja,margãvo,,"пестреть, быть пестрым"
1617,,,marinti,marinà,marìno,,"морить, изводить"
1618,,,marinuoti,marinúoja,marinãvo,,мариновать
1619,,,masažuoti,masažúoja,masažãvo,,массировать
1620,,,maskatuoti,maskatúoja,maskatãvo,,"махать, размахивать"
1621,,,masturbuotis,masturbuojasi,masturbavosi,,мастурбировать
1622,,,mąstyti,mą̃sto,mą̃stė,,"мыслить, размышлять"
1623,,,matuoti,matuoja,matavo,ką?,измерять
1624,174,138,matúotis,matúojasi,matãvosi,ką?,"примерять, примеривать"
1625,173,137,matýti,mãto,mãtė,ką?,видеть
1626,,,matytis,mãtosi,mãtėsi,,"видеться, быть видимым"
1627,175,139,máudyti,máudo,máudė,ką?,купать
1628,176,140,máudytis,máudosi,máudėsi,,купаться; мыться
1629,177,141,máuti,máuna,móvė,ką?,"одеть, одевать; снять, снимать"
1630,178,142,máutis,máunasi,móvėsi,ką?,"надеть, надевать; снять, снимать"
1631,179,143,mažė́ti,mažė́ja,mažė́jo,ko?,"уменьшаться, убывать, снижаться"
1632,,,mazgoti,mazgója,mazgójo,,"мыть, полоскать"
1633,,,mažinti,mãžina,mãžino,,уменьшать
1634,,,medituoti,meditúoja,meditãvo,,медитировать
1635,180,144,medžióti,medžiója,medžiójo,ką?,охотиться
1636,,,mėgautis,mė́gaujasi,mė́gavosi,,наслаждаться
1637,,,mėgdžioti,mė́gdžioja,mė́gdžiojo,,подражать
1638,,,mėginti,mėgìna,mėgìno,,"пробовать, пытаться"
1639,181,145,mė́gti,mė́gsta,mė́go,ką?,любить
1640,182,146,mègzti,mẽzga,mẽzgė,ką?,вязать
1641,,,megztis,mẽzgasi,mẽzgėsi,,вязаться (о процессе)
1642,,,meilikauti,meilikáuja,meilikãvo,,"льстить, заискивать"
1643,,,meilintis,méilinasi,méilinosi,,"ласкаться, заигрывать"
1644,,,melsti,mel̃džia,mel̃dė,,"молить, просить"
1645,183,147,mel̃stis,mel̃džiasi,mel̃dėsi,kam?,молиться
1646,,,melsvinti,melsvina,melsvino,,"синить, придавать синеватый оттенок"
1647,184,148,melúoti,melúoja,melãvo,apie ką?,лгать
1648,,,mėlynėti,mėlynėja,mėlynėjo,,синеть (становиться синим)
1649,,,mėlyninti,mėlynina,mėlynino,,"синить, делать синим"
1650,,,mėlynuoti,mėlynúoja,mėlynãvo,,синеть (виднеться синим)
1651,,,melžti,mélžia,mélžė,,доить
1652,,,menkėti,menkė́ja,menkė́jo,,"принижаться, умаляться; мельчать"
1653,,,menkinti,meñkina,meñkino,,"принижать, умалять"
1654,,,merkti,mérkia,mérkė,,"мочить, окунать; закрывать (глаза)"
1655,,,meškerioti,meškeriója,meškeriójo,,"удить рыбу, рыбачить"
1656,185,149,mèsti,mẽta,mẽtė,ką?,"бросить, кинуть"
1657,,,mėtyti,mė́to,mė́tė,,"бросать, кидать (многократно)"
1658,,,mezgti,mẽzga,mẽzgė,,вязать
1659,,,mėžti,mė́žia,mė́žė,,"выгребать (навоз), чистить (хлев)"
1660,,,miaukti,miaũkia,miaũkė,,мяукать
1661,186,150,miegóti,miẽga,miegójo,,спать
1662,,,migdyti,mìgdo,mìgdė,,усыплять
1663,,,migti,miñga,mìgo,,засыпать
1664,,,mikčioti,mikčiója,mikčiójo,,заикаться
1665,,,mindyti,mindo,mìndė,,"топтать, мять"
1666,,,minėti,minì,minė́jo,,"упоминать, вспоминать"
1667,,,minkyti,mìnko,mìnkė,,"месить, мять"
1668,,,minti,minà,mýnė,,"топтать, мять; вспоминать"
1669,,,mintyti,miñtija,miñtijo,,"размышлять, обдумывать"
1670,,,mirgėti,mìrga,mirgė́jo,,"мерцать, мелькать"
1671,,,mirguliuoti,mirguliúoja,mirguliãvo,,"мерцать, переливаться"
1672,,,mirkčioti,mìrkčioja,mìrkčiojo,,моргать (многократно)
1673,,,mirksėti,mìrksi,mirksė́jo,,моргать
1674,,,mirktelėti,mirktelėja,mìrktelėjo,,моргнуть
1675,,,mirkti,merkia,mir̃ko,,"мокнуть, вымачиваться"
1676,188,152,mir̃ti,mìršta,mìrė,,"умереть,умирать,скончаться"
1677,,,misti,miñta,mìto,,питаться
1678,,,modifikuoti,modifikúoja,modifikãvo,,модифицировать
1679,,,mojuoti,mojúoja,mojãvo,,махать
1680,189,153,mokė́ti,móka,mokė́jo,ką?,"знать, уметь; платить, уплачивать"
1681,,,mokinti,mokìna,mokìno,,"обучать, учить (кого-то)"
1682,,,mokintis,mokìnasi,mokìnosi,,учиться (самому)
1683,190,154,mókyti,móko,mókė,ko? / ką?,"учить, обучать"
1684,191,155,mókytis,mókosi,mókėsi,ko? / ką?,"учиться, изучать, заниматься"
1685,,,mokytojauti,mokytojáuja,mokytojãvo,,"учительствовать, быть учителем"
1686,,,montuoti,montúoja,montãvo,,монтировать
1687,,,mosikuoti,mosikúoja,mosikãvo,,"махать (многократно), размахивать"
1688,,,mosuoti,mosúoja,mosãvo,,"махать, размахивать"
1689,,,moti,mója,mójo,,"махнуть, кивнуть"
1690,,,motyvuoti,motyvúoja,motyvãvo,,мотивировать
1691,,,mūkti,mū̃kia,mū̃kė,,мычать (о корове)
1692,,,murkti,mur̃kia,mur̃kė,,мурлыкать
1693,,,murmėti,mùrma,murmė́jo,,"бормотать, ворчать"
1694,,,mūryti,mū́rija,mū́rijo,,"класть (кирпичи), строить (из камня)"
1695,,,mušinėti,mušinė́ja,mušinėjo,,"бить, колотить (многократно)"
1696,192,156,mùšti,mùša,mùšė,ką?,бить
1697,,,muštis,mùšasi,mùšėsi,,драться
1698,,,mutuoti,mutuoja,mutavo,,мутировать
1699,,,muturiuoti,muturiuoja,muturiavo,,"обматывать, окутывать"
1700,,,mūvėti,mū̃vi,mūvė́jo,,"носить (перчатки, кольца)"
1701,,,mykti,mỹkia,mỹkė,,мычать
1702,187,151,mylė́ti,mýli,mylė́jo,ką?,любить
1703,,,mylėtis,mýlisi,mylė́josi,,заниматься любовью
1704,,,myluoti,mylúoja,mylãvo,,"ласкать, нежить"
1705,,,myluotis,mylúojasi,mylavosi,,"ласкаться, нежиться"
1706,,,myžti,myža,myžo,,мочиться
1707,,,nagrinėti,nagrinė́ja,nagrinė́jo,,"рассматривать, анализировать"
1708,,,naikinti,naikìna,naikìno,,уничтожать
1709,,,nakvoti,nakvoja,nakvojo,,ночевать
1710,,,nardyti,nárdo,nárdė,,нырять
1711,,,narplioti,nárplioja,nárpliojo,,распутывать
1712,,,narstyti,nársto,nárstė,,"разбирать (на части), анализировать"
1713,,,naršyti,nar̃šo,nar̃šė,,"рыскать, бродить; просматривать (интернет)"
1714,193,157,naudóti,naudója,naudójo,ką? / kam?,"употреблять, пользовать, применять"
1715,194,158,naudótis,naudójasi,naudójosi,kuo?,"пользоваться, использовать"
1716,,,naujinti,naũjina,naujino,,обновлять
1717,,,neabejoti,neabejója,neabejójo,,не сомневаться
1718,,,neapkęsti,neapkeñčia,neàpkentė,,"ненавидеть, не выносить"
1719,,,nebepasikiškiakopūsteliauti,nebepasikiškiakopūsteliauja,nebepasikiškiakopūsteliavo,,больше не собирать кислицу (очень специфический глагол)
1720,,,nebeprisikiškiakopūsteliauti,nebeprisikiškiakopūsteliauja,nebeprisikiškiakopūsteliavo,,больше не насобирать кислицы (очень специфический глагол)
1721,,,neigti,neĩgia,neĩgė,,отрицать
1722,,,nekantrauti,nekantráuja,nekantrãvo,,"не терпеть, нетерпеливо ждать"
1723,195,159,nekę̃sti,nekeñčia,nèkentė,ko? / už ką?,ненавидеть
1724,,,nenuvilti,nenùvilia,nenuvýlė,,не разочаровать
1725,,,nepaisyti,nepaĩso,nepaĩsė,,"не обращать внимания, пренебрегать"
1726,,,neraminti,neramìna,neramìno,,"тревожить, беспокоить"
1727,,,nerimauti,nerimáuja,nerimãvo,,"беспокоиться, тревожиться"
1728,,,neršti,ner̃šia,ner̃šė,,нереститься
1729,,,nerti,nẽria,nė́rė,,нырять; вязать (крючком)
1730,196,160,nèrvinti,nèrvina,nèrvino,ką?,раздражать
1731,197,161,nèrvintis,nèrvinasi,nèrvinosi,dėl ko?,нервничать
1732,,,nešdintis,nẽšdinasi,nẽšdinosi,,"убираться, уходить (грубо)"
1733,,,nėšėti,nėši,nėšėjo,,быть беременной (о животных)
1734,198,162,nešióti,nešiója,nešiójo,ką?,носить
1735,,,nešiotis,nešiójasi,nešiójosi,,носить с собой
1736,199,163,nèšti,nẽša,nẽšė,ką?,нести
1737,,,neštis,nẽšasi,nẽšėsi,,"нести (с собой), уносить"
1738,,,netekti,neteñka,netẽko,,"лишиться, потерять"
1739,,,neužmigti,neužmiẽga,neužmìgo,,не заснуть
1740,,,niekinti,niẽkina,niẽkino,,"презирать, унижать"
1741,,,niežėti,niẽžti,niežė́jo,,чесаться
1742,,,niokti,niokia,niokė,,разрывать; мять
1743,,,niršti,nir̃šta,nir̃šo,,"свирепеть, беситься"
1744,,,niūniuoti,niūniúoja,niūniãvo,,"напевать, мурлыкать (мелодию)"
1745,,,nokti,nóksta,nóko,,созревать
1746,,,nominuoti,nominuoja,nominavo,,номинировать
1747,200,164,norė́ti,nóri,norė́jo,ko?,хотеть
1748,,,norėtis,nórisi,norė́josi,,хотеться
1749,,,nuaidėti,nuáidi,nuaidė́jo,,"отзвучать, прозвучать эхом"
1750,,,nualpti,nual̃psta,nual̃po,,упасть в обморок
1751,,,nuauti,nuaũna,nùavė,,разуть
1752,,,nubausti,nubaũdžia,nùbaudė,,наказать
1753,,,nubėgti,nubė́ga,nubė́go,,"сбежать, убежать"
1754,,,nubildėti,nubìlda,nubildė́jo,,"прокатиться с грохотом, прогрохотать"
1755,,,nublokšti,nublõškia,nùbloškė,,"отбросить, швырнуть"
1756,,,nubraižyti,nubraĩžo,nubraĩžė,,"начертить, нацарапать"
1757,,,nubraukti,nubraukì,nubraũkė,,"смахнуть, стереть"
1758,,,nubrozdinti,nubrózdina,nubrózdino,,"ободрать, оцарапать"
1759,,,nubusti,nubuñda,nubùdo,,проснуться
1760,,,nudažyti,nudãžo,nudãžė,,покрасить
1761,,,nudeginti,nùdega,nudẽgino,,"обжечь, сжечь"
1762,,,nudėti,nùdeda,nudė́jo,,"убить, прикончить (разг.)"
1763,,,nudilti,nudỹla,nudìlo,,"стереться, износиться"
1764,,,nudirbti,nudìrba,nudìrbo,,"отработать, сделать (работу)"
1765,,,nudobti,nudóbia,nudóbė,,"убить, прикончить (животное)"
1766,,,nudribti,nudrim̃ba,nudrìbo,,"упасть (тяжело), рухнуть"
1767,,,nudvėsti,nùdvesia,nudvėsė,,сдохнуть
1768,,,nudžiuginti,nudžiùgina,nudžiùgino,,обрадовать
1769,,,nudžiugti,nudžiuñga,nudžiùgo,,обрадоваться
1770,,,nudžiūti,nudžiūsta,nudžiuvo,,высохнуть
1771,,,nueiti,nueĩna,nuė̃jo,,"уйти, отойти"
1772,,,nufilmuoti,nufilmúoja,nufilmãvo,,"снять (на пленку), зафильмировать"
1773,,,nufotografuoti,nufotografúoja,nufotografãvo,,сфотографировать
1774,,,nugabenti,nugabẽna,nugabẽno,,"доставить, перевезти"
1775,,,nugalabyti,nugalãbija,nugalãbijo,,"убить, прикончить (грубо)"
